"filename", "language", "Python", "CMakeCache", "CMake", "JSON", "C++", "C", "Log", "Makefile", "JSON with Comments", "Markdown", "Docker", "comment", "blank", "total"
"/home/yuan/esp/tcp/build/esp-idf/esp_gdbstub/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_hid/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_http_client/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_http_server/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_https_ota/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_https_server/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_hw_support/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"/home/yuan/esp/tcp/build/esp-idf/esp_hw_support/port/esp32s3/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_ipc/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_lcd/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_local_ctrl/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_netif/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_phy/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_pm/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_ringbuf/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_rom/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_serial_slave_link/cmake_install.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 40
"/home/yuan/esp/tcp/build/esp-idf/esp_system/cmake_install.cmake", "CMake", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
